CAR_CARG_PERIODO;CAR_CARG_ANO;CAR_T6024_IDEMPRESA;CAR_T6024_CODSUI_MERC;CAR_T6024_METODOLOGIA;CAR_T6024_TIPO_GAS;CAR_T6024_TIPO_USUARIO;CAR_T6024_RANGO;CAR_T6024_PISO_RANGO;CAR_T6024_TECHO_RANGO;CAR_T6024_CUV;CAR_T6024_CUF;CAR_T6024_G;CAR_T6024_CCG;CAR_T6024_V;CAR_T6024_PMS;CAR_T6024_CGLP;CAR_T6024_T;CAR_T6024_CCT;CAR_T6024_CP;CAR_T6024_VT;CAR_T6024_TVM;CAR_T6024_PM;CAR_T6024_DM;CAR_T6024_DUR;CAR_T6024_DUNR;CAR_T6024_D;CAR_T6024_FPC;CAR_T6024_CV;CAR_T6024_CC;CAR_T6024_CF;CAR_T6024_P;CAR_T6024_KCD;CAR_T6024_CONS1;CAR_T6024_CONS2;CAR_T6024_CUEQ1;CAR_T6024_CUEQ2;CAR_T6024_TARIFA1;CAR_T6024_TARIFA2;CAR_T6024_S1;CAR_T6024_S2
1;2021;22910;144;011-2003;GN;;1;0;100000;1407.27;5154.69;874.41;17926.19;70369.14;;;215.66;4421.38;0;70369.14;;;242.29;;;242.29;1.146;0;0;5154.69;0.035;;15.11;14.84;1748.56;1754.77;780.44;954.2;0.55;0.45
1;2021;22910;32;011-2003;GN;;1;0;100000;1480.92;4669.15;874.41;5023.67;19720.4;;;215.66;1238.87;0;19720.4;;;306.56;;;306.56;1.146;0;0;4669.15;0.035;;14.17;12.72;1810.38;1848.07;786.6;984.51;0.56;0.46
1;2021;22910;179;011-2003;GN;;1;0;100000;1718.28;5252.3;874.41;11232.78;44094.21;;;215.66;2770.09;0;44094.21;;;513.68;;;513.68;1.146;0;0;5252.3;0.035;;14.95;13.32;2069.75;2112.6;871.04;1108;0.57;0.47
1;2021;22910;931;011-2003;GN;;1;0;100000;1964.41;5301.36;874.41;19327.7;75870.74;;;215.66;4766.35;0;75870.74;;;728.45;;;728.45;1.146;0;0;5301.36;0.035;;12.91;13.96;2375.31;2344.37;991.6;1225.24;0.58;0.47
1;2021;22910;929;011-2003;GN;;1;0;100000;1924.05;5301.37;874.41;5360.52;21042.69;;;215.66;1321.94;0;21042.69;;;693.23;;;693.23;1.146;0;0;5301.37;0.035;;10.03;12.32;2439.09;2354.58;998.48;1211.45;0.59;0.48
1;2021;22910;181;011-2003;GLP;;1;0;100000;4661.29;2496.5;2172.93;;;93747711;43143;1909.67;;;43143;0;;474.01;;;474.01;1;0;0;2496.5;0.025;;6.37;6.37;5052.64;5053.1;2366;2967;0.53;0.41
1;2021;22910;547;202-2013;GLP;RES;;;;4962.97;2929.85;2172.93;;;93747711;43143;1909.67;;;43143;0;;;775.69;0;775.69;1;0;0;2929.85;0.025;;5.86;6.47;5411.18;5369.05;2535.19;3164.17;0.53;0.41
1;2021;22910;546;202-2013;GLP;RES;;;;4851.16;2630.99;2172.93;;;93747711;43143;1909.67;;;43143;0;;;663.88;0;663.88;1;0;0;2630.99;0.025;;6.23;6.17;5272.84;5277.58;2462.16;3090.03;0.53;0.41
1;2021;22910;548;202-2013;GLP;RES;;;;4853.79;2629.86;2172.93;;;93747711;43143;1909.67;;;43143;0;;;666.51;0;666.51;1;0;0;2629.86;0.025;;5.72;5.38;5313;5341.93;2480.74;3107.94;0.53;0.41
1;2021;22910;545;202-2013;GLP;RES;;;;4991.11;5590.9;2867.15;;;81849084;28547;1339.89;;;28547;0;;;676.2;0;676.2;1;0;0;5590.9;0.025;;5.26;5.02;6053.95;6104.14;2423.36;3052.07;0.59;0.5
1;2021;22910;932;202-2013;GLP;RES;;;;4691.44;2745.46;2172.93;;;81849084;28547;1909.67;;;28547;0;;;504.16;0;504.16;1;0;0;2745.46;0.025;;5.98;5.93;5150.34;5153.73;2423.03;2910.39;0.52;0.43
